Ticker,Total_Rows,Feature_Rows,NaN_target_rows,Any_warnings,Status
TARSONS,1073,1013,10,,OK
TASTYBITE,1235,1175,10,,OK
TATACHEM,1236,1176,10,,OK
TTML,1236,1176,10,,OK
THYROCARE,1236,1176,10,,OK
TIMKEN,1235,1175,10,,OK
TINPLATE,0,0,0,'NoneType' object is not subscriptable,ERROR
TITAGARH,1236,1176,10,,OK
UCOBANK,1236,1176,10,,OK
UJJIVANSFB,1236,1176,10,,OK
UNOMINDA,1236,1176,10,,OK
USHAMART,1236,1176,10,,OK
VAIBHAVGBL,1236,1176,10,,OK
VARROC,1236,1176,10,,OK
VBL,1236,1176,10,,OK
VIJAYA,1122,1062,10,,OK
VINATIORGA,1236,1176,10,,OK
VIP,0,0,0,no raw data,ERROR
VIPIND,1235,1175,10,,OK
VMART,1236,1176,10,,OK
VSTIND,1236,1176,10,,OK
WABAG,1236,1176,10,,OK
WELCORP,1236,1176,10,,OK
WELENT,1236,1176,10,,OK
WESTLIFE,1235,1175,10,,OK
YATHARTH,652,592,10,,OK
ZENTEC,1236,1176,10,,OK
ZFCVINDIA,1236,1176,10,,OK
ZYDUSWELL,1236,1176,10,,OK
